Period,Company,Model,Market Share,Marketing End User,Marketing Retailer,Model Name,Durability,Design,Connectivity,Maintenance,Accessories,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Rate of Coverage
12,Digi,1,500.0,1200.0,1800.0,Digi1,"0,7","2,0","0,7","0,7","0,7",11.0,7.0,5.0,11.0,7.0,6.0,11.0,61.0
12,Profit,1,400.0,1200.0,900.0,Profit1,"0,7","0,7","0,7","1,4","0,7",19.0,28.0,37.0,17.0,24.0,33.0,16.0,48.0
12,Primus,1,400.0,1000.0,1500.0,Primus1,"0,7","0,7","0,7","1,4","0,7",13.0,15.0,17.0,13.0,15.0,17.0,14.0,60.0
12,Best,1,400.0,1800.0,1400.0,Best1,"0,7","0,7","0,7","2,0","0,7",9.0,8.0,7.0,10.0,9.0,9.0,13.0,49.0
12,Mikro,1,650.0,1250.0,1400.0,Mikro1,"0,7","0,7","0,7","0,7","0,7",6.0,7.0,8.0,6.0,7.0,7.0,5.0,45.0
10,Digi,1,400.0,1000.0,1000.0,Digi1,"0,8","1,6","0,8","0,8","0,8",14.0,9.0,7.0,13.0,10.0,8.0,12.0,44.0
10,Profit,1,50.0,550.0,1550.0,Profit1,"0,8","0,8","0,8","1,6","0,8",8.0,7.0,7.0,8.0,9.0,8.0,10.0,56.0
10,Primus,1,,1000.0,700.0,,,,,,,34.0,40.0,44.0,33.0,37.0,41.0,32.0,56.0
10,Best,1,400.0,1000.0,600.0,Best1,"0,8","0,8","0,8","2,5","0,8",28.0,28.0,26.0,29.0,29.0,29.0,32.0,46.0
10,Mikro,1,400.0,400.0,300.0,Mikro1,"0,8","0,8","0,8","0,8","0,8",10.0,11.0,12.0,9.0,10.0,11.0,8.0,30.0
11,Digi,1,500.0,1200.0,1800.0,Digi1,"0,8",23.0,"0,8","0,8","0,8",12.0,5.0,2.0,13.0,7.0,4.0,13.0,56.0
11,Profit,1,600.0,1200.0,1000.0,Profit1,"0,8","0,8","0,8","1,5","0,8",30.0,47.0,60.0,26.0,37.0,49.0,22.0,56.0
11,Primus,1,,1000.0,1500.0,,,,,,,19.0,16.0,14.0,19.0,19.0,18.0,21.0,62.0
11,Best,1,200.0,900.0,1000.0,Best1,"0,8","0,8","0,8",23.0,"0,8",12.0,8.0,6.0,13.0,12.0,10.0,18.0,46.0
11,Mikro,1,500.0,500.0,500.0,Mikro1,"0,8","0,8","0,8","0,8","0,8",7.0,6.0,5.0,7.0,7.0,6.0,7.0,40.0
8,Digi,1,500.0,500.0,500.0,,,,,,,5.0,2.0,1.0,7.0,4.0,2.0,10.0,52.0
8,Profit,1,150.0,150.0,600.0,,,,,,,14.0,15.0,16.0,13.0,15.0,16.0,13.0,57.0
8,Primus,1,,400.0,800.0,,,,,,,17.0,13.0,10.0,18.0,15.0,13.0,19.0,66.0
8,Best,1,1200.0,1200.0,800.0,,,,,,,51.0,59.0,62.0,49.0,54.0,58.0,44.0,65.0
8,Mikro,1,300.0,300.0,200.0,,,,,,,13.0,11.0,10.0,13.0,12.0,11.0,14.0,28.0
9,Digi,1,300.0,300.0,400.0,Digi1,"0,9","1,8","0,9","0,9","0,9",10.0,7.0,6.0,10.0,8.0,6.0,10.0,43.0
9,Profit,1,400.0,400.0,1600.0,Profit1,"0,9","0,9","0,9","1,8","0,9",20.0,21.0,22.0,19.0,21.0,22.0,19.0,64.0
9,Primus,1,,1000.0,800.0,,,,,,,31.0,34.0,35.0,31.0,32.0,33.0,30.0,59.0
9,Best,1,1.0,1000.0,600.0,Best1,"0,9","0,9","0,9","1,8","0,9",32.0,31.0,31.0,32.0,33.0,33.0,34.0,55.0
9,Mikro,1,300.0,300.0,200.0,Mikro1,"0,9","0,9","0,9","0,9","0,9",7.0,6.0,6.0,7.0,7.0,6.0,7.0,24.0
12,Digi,2,700.0,1200.0,1800.0,Digi2,"3,0","3,0","3,0","1,0","1,0",3.0,1.0,0.0,5.0,1.0,0.0,7.0,63.0
12,Profit,2,400.0,1200.0,900.0,Profit2,"2,0","1,0","2,0","1,0","1,0",16.0,15.0,12.0,15.0,17.0,13.0,13.0,52.0
12,Primus,2,400.0,1000.0,1500.0,Primus2,"2,0","1,0","3,0","1,0","1,0",3.0,2.0,1.0,4.0,2.0,1.0,4.0,41.0
12,Best,2,700.0,1800.0,1400.0,Best2,"2,0","1,0","2,0","1,0","1,0",14.0,15.0,13.0,12.0,15.0,12.0,10.0,38.0
12,Mikro,2,600.0,1250.0,1400.0,Mikro2,"3,0","3,0","3,0","3,0","3,0",1.0,0.0,0.0,1.0,0.0,0.0,2.0,46.0
10,Digi,2,600.0,1000.0,1000.0,Digi2,"3,0","3,0","3,0","1,0","1,0",1.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0
10,Profit,2,500.0,550.0,1550.0,Profit2,"2,0","1,0","2,0","1,0","1,0",3.0,3.0,2.0,3.0,3.0,2.0,3.0,59.0
10,Primus,2,,1000.0,700.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
10,Best,2,600.0,1000.0,600.0,Best2,"2,0","1,0","2,0","1,0","1,0",2.0,2.0,1.0,2.0,2.0,1.0,2.0,15.0
10,Mikro,2,,400.0,300.0,,,,,,,,,,,,,,
11,Digi,2,700.0,1200.0,1800.0,Digi2,"3,0","3,0","3,0","1,0","1,0",1.0,0.0,0.0,3.0,0.0,0.0,4.0,55.0
11,Profit,2,600.0,1200.0,1000.0,Profit2,"2,0","1,0","2,0","1,0","1,0",14.0,14.0,11.0,13.0,14.0,11.0,10.0,55.0
11,Primus,2,,1000.0,1500.0,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,2.0,27.0
11,Best,2,300.0,900.0,1000.0,Best2,"2,0","1,0","2,0","1,0","1,0",4.0,3.0,2.0,4.0,4.0,2.0,4.0,33.0
11,Mikro,2,,500.0,500.0,,,,,,,,,,,,,,
8,Digi,2,,500.0,500.0,,,,,,,,,,,,,,
8,Profit,2,,150.0,600.0,,,,,,,,,,,,,,
8,Primus,2,,400.0,800.0,,,,,,,,,,,,,,
8,Best,2,,1200.0,800.0,,,,,,,,,,,,,,
8,Mikro,2,,300.0,200.0,,,,,,,,,,,,,,
9,Digi,2,,300.0,400.0,,,,,,,,,,,,,,
9,Profit,2,,400.0,1600.0,,,,,,,,,,,,,,
9,Primus,2,,1000.0,800.0,,,,,,,,,,,,,,
9,Best,2,0.0,1000.0,600.0,,,,,,,,,,,,,,
9,Mikro,2,,300.0,200.0,,,,,,,,,,,,,,
12,Digi,3,,1200.0,1800.0,,,,,,,,,,,,,,
12,Profit,3,400.0,1200.0,900.0,Profit3,"1,0","3,0","1,0","1,0","3,0",2.0,1.0,1.0,2.0,1.0,1.0,1.0,13.0
12,Primus,3,200.0,1000.0,1500.0,Primus3,"3,0","2,0","3,0","2,0","2,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
12,Best,3,700.0,1800.0,1400.0,Best3,"2,0","3,0","3,0","2,0","1,0",3.0,1.0,0.0,4.0,1.0,0.0,4.0,22.0
12,Mikro,3,,1250.0,1400.0,,,,,,,,,,,,,,
10,Digi,3,,1000.0,1000.0,,,,,,,,,,,,,,
10,Profit,3,,550.0,1550.0,,,,,,,,,,,,,,
10,Primus,3,,1000.0,700.0,,,,,,,,,,,,,,
10,Best,3,,1000.0,600.0,,,,,,,,,,,,,,
10,Mikro,3,,400.0,300.0,,,,,,,,,,,,,,
11,Digi,3,,1200.0,1800.0,,,,,,,,,,,,,,
11,Profit,3,,1200.0,1000.0,,,,,,,,,,,,,,
11,Primus,3,,1000.0,1500.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
11,Best,3,400.0,900.0,1000.0,Best3,"2,0","3,0","3,0","2,0","1,0",0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
11,Mikro,3,,500.0,500.0,,,,,,,,,,,,,,
8,Digi,3,,500.0,500.0,,,,,,,,,,,,,,
8,Profit,3,,150.0,600.0,,,,,,,,,,,,,,
8,Primus,3,,400.0,800.0,,,,,,,,,,,,,,
8,Best,3,,1200.0,800.0,,,,,,,,,,,,,,
8,Mikro,3,,300.0,200.0,,,,,,,,,,,,,,
9,Digi,3,,300.0,400.0,,,,,,,,,,,,,,
9,Profit,3,,400.0,1600.0,,,,,,,,,,,,,,
9,Primus,3,,1000.0,800.0,,,,,,,,,,,,,,
9,Best,3,,1000.0,600.0,,,,,,,,,,,,,,
9,Mikro,3,,300.0,200.0,,,,,,,,,,,,,,
12,Digi,4,,1200.0,1800.0,,,,,,,,,,,,,,
12,Profit,4,,1200.0,900.0,,,,,,,,,,,,,,
12,Primus,4,,1000.0,1500.0,,,,,,,,,,,,,,
12,Best,4,,1800.0,1400.0,,,,,,,,,,,,,,
12,Mikro,4,,1250.0,1400.0,,,,,,,,,,,,,,
10,Digi,4,,1000.0,1000.0,,,,,,,,,,,,,,
10,Profit,4,,550.0,1550.0,,,,,,,,,,,,,,
10,Primus,4,,1000.0,700.0,,,,,,,,,,,,,,
10,Best,4,,1000.0,600.0,,,,,,,,,,,,,,
10,Mikro,4,,400.0,300.0,,,,,,,,,,,,,,
11,Digi,4,,1200.0,1800.0,,,,,,,,,,,,,,
11,Profit,4,,1200.0,1000.0,,,,,,,,,,,,,,
11,Primus,4,,1000.0,1500.0,,,,,,,,,,,,,,
11,Best,4,,900.0,1000.0,,,,,,,,,,,,,,
11,Mikro,4,,500.0,500.0,,,,,,,,,,,,,,
8,Digi,4,,500.0,500.0,,,,,,,,,,,,,,
8,Profit,4,,150.0,600.0,,,,,,,,,,,,,,
8,Primus,4,,400.0,800.0,,,,,,,,,,,,,,
8,Best,4,,1200.0,800.0,,,,,,,,,,,,,,
8,Mikro,4,,300.0,200.0,,,,,,,,,,,,,,
9,Digi,4,,300.0,400.0,,,,,,,,,,,,,,
9,Profit,4,,400.0,1600.0,,,,,,,,,,,,,,
9,Primus,4,,1000.0,800.0,,,,,,,,,,,,,,
9,Best,4,,1000.0,600.0,,,,,,,,,,,,,,
9,Mikro,4,,300.0,200.0,,,,,,,,,,,,,,
12,Digi,5,,1200.0,1800.0,,,,,,,,,,,,,,
12,Profit,5,,1200.0,900.0,,,,,,,,,,,,,,
12,Primus,5,,1000.0,1500.0,,,,,,,,,,,,,,
12,Best,5,,1800.0,1400.0,,,,,,,,,,,,,,
12,Mikro,5,,1250.0,1400.0,,,,,,,,,,,,,,
10,Digi,5,,1000.0,1000.0,,,,,,,,,,,,,,
10,Profit,5,,550.0,1550.0,,,,,,,,,,,,,,
10,Primus,5,,1000.0,700.0,,,,,,,,,,,,,,
10,Best,5,,1000.0,600.0,,,,,,,,,,,,,,
10,Mikro,5,,400.0,300.0,,,,,,,,,,,,,,
11,Digi,5,,1200.0,1800.0,,,,,,,,,,,,,,
11,Profit,5,,1200.0,1000.0,,,,,,,,,,,,,,
11,Primus,5,,1000.0,1500.0,,,,,,,,,,,,,,
11,Best,5,,900.0,1000.0,,,,,,,,,,,,,,
11,Mikro,5,,500.0,500.0,,,,,,,,,,,,,,
8,Digi,5,,500.0,500.0,,,,,,,,,,,,,,
8,Profit,5,,150.0,600.0,,,,,,,,,,,,,,
8,Primus,5,,400.0,800.0,,,,,,,,,,,,,,
8,Best,5,,1200.0,800.0,,,,,,,,,,,,,,
8,Mikro,5,,300.0,200.0,,,,,,,,,,,,,,
9,Digi,5,,300.0,400.0,,,,,,,,,,,,,,
9,Profit,5,,400.0,1600.0,,,,,,,,,,,,,,
9,Primus,5,,1000.0,800.0,,,,,,,,,,,,,,
9,Best,5,,1000.0,600.0,,,,,,,,,,,,,,
9,Mikro,5,,300.0,200.0,,,,,,,,,,,,,,
12,Digi,6,,1200.0,1800.0,,,,,,,,,,,,,,
12,Profit,6,,1200.0,900.0,,,,,,,,,,,,,,
12,Primus,6,,1000.0,1500.0,,,,,,,,,,,,,,
12,Best,6,,1800.0,1400.0,,,,,,,,,,,,,,
12,Mikro,6,,1250.0,1400.0,,,,,,,,,,,,,,
10,Digi,6,,1000.0,1000.0,,,,,,,,,,,,,,
10,Profit,6,,550.0,1550.0,,,,,,,,,,,,,,
10,Primus,6,,1000.0,700.0,,,,,,,,,,,,,,
10,Best,6,,1000.0,600.0,,,,,,,,,,,,,,
10,Mikro,6,,400.0,300.0,,,,,,,,,,,,,,
11,Digi,6,,1200.0,1800.0,,,,,,,,,,,,,,
11,Profit,6,,1200.0,1000.0,,,,,,,,,,,,,,
11,Primus,6,,1000.0,1500.0,,,,,,,,,,,,,,
11,Best,6,,900.0,1000.0,,,,,,,,,,,,,,
11,Mikro,6,,500.0,500.0,,,,,,,,,,,,,,
8,Digi,6,,500.0,500.0,,,,,,,,,,,,,,
8,Profit,6,,150.0,600.0,,,,,,,,,,,,,,
8,Primus,6,,400.0,800.0,,,,,,,,,,,,,,
8,Best,6,,1200.0,800.0,,,,,,,,,,,,,,
8,Mikro,6,,300.0,200.0,,,,,,,,,,,,,,
9,Digi,6,,300.0,400.0,,,,,,,,,,,,,,
9,Profit,6,,400.0,1600.0,,,,,,,,,,,,,,
9,Primus,6,,1000.0,800.0,,,,,,,,,,,,,,
9,Best,6,,1000.0,600.0,,,,,,,,,,,,,,
9,Mikro,6,,300.0,200.0,,,,,,,,,,,,,,
